date,year,quarter,month,month_number,week,day
2025-01-01,2025,Q1,January,1,1,Wednesday
2025-01-02,2025,Q1,January,1,1,Thursday
2025-01-03,2025,Q1,January,1,1,Friday
2025-01-04,2025,Q1,January,1,1,Saturday
2025-01-05,2025,Q1,January,1,1,Sunday
2025-01-06,2025,Q1,January,1,2,Monday
2025-01-07,2025,Q1,January,1,2,Tuesday
2025-01-08,2025,Q1,January,1,2,Wednesday
2025-01-09,2025,Q1,January,1,2,Thursday
2025-01-10,2025,Q1,January,1,2,Friday
2025-01-11,2025,Q1,January,1,2,Saturday
2025-01-12,2025,Q1,January,1,2,Sunday
2025-01-13,2025,Q1,January,1,3,Monday
2025-01-14,2025,Q1,January,1,3,Tuesday
2025-01-15,2025,Q1,January,1,3,Wednesday
2025-01-16,2025,Q1,January,1,3,Thursday
2025-01-17,2025,Q1,January,1,3,Friday
2025-01-18,2025,Q1,January,1,3,Saturday
2025-01-19,2025,Q1,January,1,3,Sunday
2025-01-20,2025,Q1,January,1,4,Monday
2025-01-21,2025,Q1,January,1,4,Tuesday
2025-01-22,2025,Q1,January,1,4,Wednesday
2025-01-23,2025,Q1,January,1,4,Thursday
2025-01-24,2025,Q1,January,1,4,Friday
2025-01-25,2025,Q1,January,1,4,Saturday
2025-01-26,2025,Q1,January,1,4,Sunday
2025-01-27,2025,Q1,January,1,5,Monday
2025-01-28,2025,Q1,January,1,5,Tuesday
2025-01-29,2025,Q1,January,1,5,Wednesday
2025-01-30,2025,Q1,January,1,5,Thursday
2025-01-31,2025,Q1,January,1,5,Friday
2025-02-01,2025,Q1,February,2,5,Saturday
2025-02-02,2025,Q1,February,2,5,Sunday
2025-02-03,2025,Q1,February,2,6,Monday
2025-02-04,2025,Q1,February,2,6,Tuesday
2025-02-05,2025,Q1,February,2,6,Wednesday
2025-02-06,2025,Q1,February,2,6,Thursday
2025-02-07,2025,Q1,February,2,6,Friday
2025-02-08,2025,Q1,February,2,6,Saturday
2025-02-09,2025,Q1,February,2,6,Sunday
2025-02-10,2025,Q1,February,2,7,Monday
2025-02-11,2025,Q1,February,2,7,Tuesday
2025-02-12,2025,Q1,February,2,7,Wednesday
2025-02-13,2025,Q1,February,2,7,Thursday
2025-02-14,2025,Q1,February,2,7,Friday
2025-02-15,2025,Q1,February,2,7,Saturday
2025-02-16,2025,Q1,February,2,7,Sunday
2025-02-17,2025,Q1,February,2,8,Monday
2025-02-18,2025,Q1,February,2,8,Tuesday
2025-02-19,2025,Q1,February,2,8,Wednesday
2025-02-20,2025,Q1,February,2,8,Thursday
2025-02-21,2025,Q1,February,2,8,Friday
2025-02-22,2025,Q1,February,2,8,Saturday
2025-02-23,2025,Q1,February,2,8,Sunday
2025-02-24,2025,Q1,February,2,9,Monday
2025-02-25,2025,Q1,February,2,9,Tuesday
2025-02-26,2025,Q1,February,2,9,Wednesday
2025-02-27,2025,Q1,February,2,9,Thursday
2025-02-28,2025,Q1,February,2,9,Friday
2025-03-01,2025,Q1,March,3,9,Saturday
2025-03-02,2025,Q1,March,3,9,Sunday
2025-03-03,2025,Q1,March,3,10,Monday
2025-03-04,2025,Q1,March,3,10,Tuesday
2025-03-05,2025,Q1,March,3,10,Wednesday
2025-03-06,2025,Q1,March,3,10,Thursday
2025-03-07,2025,Q1,March,3,10,Friday
2025-03-08,2025,Q1,March,3,10,Saturday
