performance_id,campaign_id,date,impressions,clicks,leads,conversions,marketing_cost
MP000001,CMP001,2025-01-01,46905,1394,221,57,13024
MP000002,CMP001,2025-01-02,19628,677,127,46,7848
MP000003,CMP001,2025-01-03,43698,2601,422,45,8070
MP000004,CMP001,2025-01-04,19328,862,258,102,5869
MP000005,CMP001,2025-01-05,41781,1649,526,159,12223
MP000006,CMP001,2025-01-06,34439,1827,277,47,18848
MP000007,CMP001,2025-01-07,27298,1114,206,33,16029
MP000008,CMP001,2025-01-08,11698,327,97,12,16763
MP000009,CMP001,2025-01-09,27541,1786,402,143,6423
MP000010,CMP001,2025-01-10,35108,1213,417,89,7582
MP000011,CMP001,2025-01-11,41178,2023,624,220,16850
MP000012,CMP001,2025-01-12,42837,1643,281,33,12467
MP000013,CMP001,2025-01-13,23965,642,155,21,17455
MP000014,CMP001,2025-01-14,23217,1392,394,59,17130
MP000015,CMP001,2025-01-15,28283,994,320,66,7339
MP000016,CMP001,2025-01-16,44920,3498,699,205,13021
MP000017,CMP001,2025-01-17,15708,787,215,55,23250
MP000018,CMP001,2025-01-18,19392,1051,353,134,6832
MP000019,CMP001,2025-01-19,20010,465,109,35,13773
MP000020,CMP001,2025-01-20,9337,402,132,33,11967
MP000021,CMP001,2025-01-21,47954,3003,855,319,9681
MP000022,CMP001,2025-01-22,22359,732,172,64,23394
MP000023,CMP001,2025-01-23,40322,1882,581,167,24121
MP000024,CMP001,2025-01-24,31175,1364,316,48,21696
MP000025,CMP001,2025-01-25,37343,1118,360,42,8592
MP000026,CMP001,2025-01-26,15016,942,181,68,18833
MP000027,CMP001,2025-01-27,44086,1141,269,74,24526
MP000028,CMP001,2025-01-28,35674,1742,544,56,8753
MP000029,CMP001,2025-01-29,49676,3192,751,271,16146
MP000030,CMP001,2025-01-30,12310,546,136,23,19867
MP000031,CMP001,2025-01-31,5212,238,67,11,21635
MP000032,CMP001,2025-02-01,11973,879,207,73,21635
MP000033,CMP001,2025-02-02,44909,1712,334,80,10293
MP000034,CMP001,2025-02-03,40348,2978,446,126,21010
MP000035,CMP001,2025-02-04,6276,182,50,14,12846
MP000036,CMP001,2025-02-05,8796,421,135,18,7806
MP000037,CMP001,2025-02-06,36849,1019,346,102,9120
MP000038,CMP001,2025-02-07,13414,943,262,96,10410
MP000039,CMP001,2025-02-08,22370,1527,445,98,22671
MP000040,CMP001,2025-02-09,18182,1001,252,72,19355
MP000041,CMP001,2025-02-10,38919,2627,517,114,12362
MP000042,CMP001,2025-02-11,9196,529,81,26,23150
MP000043,CMP001,2025-02-12,20080,1606,352,35,7326
MP000044,CMP001,2025-02-13,46359,1168,233,31,6029
MP000045,CMP001,2025-02-14,26654,678,232,53,14125
MP000046,CMP001,2025-02-15,48842,2964,663,204,9335
MP000047,CMP001,2025-02-16,42423,3208,965,220,20498
MP000048,CMP001,2025-02-17,31677,1022,177,23,19124
MP000049,CMP001,2025-02-18,28219,1431,424,161,6775
MP000050,CMP001,2025-02-19,49129,3658,1209,170,6986
MP000051,CMP001,2025-02-20,31386,2118,490,76,13147
MP000052,CMP001,2025-02-21,17556,740,248,81,9593
MP000053,CMP001,2025-02-22,32648,1027,225,81,13185
MP000054,CMP001,2025-02-23,9940,651,122,15,22713
MP000055,CMP001,2025-02-24,5967,166,39,5,18317
MP000056,CMP001,2025-02-25,36826,2707,624,164,6921
MP000057,CMP001,2025-02-26,15789,703,105,34,13690
MP000058,CMP001,2025-02-27,34819,1864,495,191,20947
MP000059,CMP001,2025-02-28,15144,496,111,24,6916
MP000060,CMP001,2025-03-01,42957,3079,523,132,6873
MP000061,CMP001,2025-03-02,8286,464,130,45,22403
MP000062,CMP001,2025-03-03,15317,364,119,16,11089
MP000063,CMP001,2025-03-04,9490,258,81,15,18230
MP000064,CMP001,2025-03-05,12856,840,189,55,24481
MP000065,CMP001,2025-03-06,7604,469,80,21,24125
MP000066,CMP001,2025-03-07,42042,2981,770,143,11693
MP000067,CMP001,2025-03-08,48891,3910,907,212,13703
MP000068,CMP001,2025-03-09,30938,886,303,112,14830
MP000069,CMP001,2025-03-10,34964,1994,683,86,5305
MP000070,CMP001,2025-03-11,35034,1109,184,52,11984
MP000071,CMP001,2025-03-12,38153,1849,344,78,7254
MP000072,CMP001,2025-03-13,21009,1176,248,44,19358
MP000073,CMP001,2025-03-14,40600,2051,620,229,22332
MP000074,CMP001,2025-03-15,5512,393,96,38,8394
MP000075,CMP001,2025-03-16,13800,546,95,37,8507
MP000076,CMP001,2025-03-17,41256,1461,358,71,24819
MP000077,CMP001,2025-03-18,18803,1078,213,54,21561
MP000078,CMP001,2025-03-19,37016,1768,291,40,18879
MP000079,CMP001,2025-03-20,23132,552,82,18,9286
MP000080,CMP001,2025-03-21,46753,2007,383,132,19478
MP000081,CMP001,2025-03-22,41154,2574,395,53,7465
MP000082,CMP001,2025-03-23,14768,853,136,36,24087
MP000083,CMP001,2025-03-24,41210,1430,434,75,6370
MP000084,CMP001,2025-03-25,25202,1250,417,160,6307
MP000085,CMP001,2025-03-26,28449,998,323,63,8368
MP000086,CMP001,2025-03-27,28178,2160,610,165,10064
MP000087,CMP001,2025-03-28,20514,742,156,41,5812
MP000088,CMP001,2025-03-29,16754,1089,248,76,13131
MP000089,CMP001,2025-03-30,22485,775,143,38,6268
MP000090,CMP001,2025-03-31,35847,1627,346,138,20083
MP000091,CMP001,2025-04-01,27915,1183,387,139,12457
MP000092,CMP001,2025-04-02,19609,440,150,27,18056
MP000093,CMP001,2025-04-03,26512,1100,182,67,14146
MP000094,CMP001,2025-04-04,28012,1873,540,156,22570
MP000095,CMP001,2025-04-05,26702,590,102,38,13559
MP000096,CMP001,2025-04-06,16702,928,206,22,8552
MP000097,CMP001,2025-04-07,44096,2660,752,261,15278
MP000098,CMP001,2025-04-08,33599,1912,547,83,17622
MP000099,CMP001,2025-04-09,42787,1633,374,42,19288
MP000100,CMP001,2025-04-10,5110,368,123,24,16934
MP000101,CMP001,2025-04-11,33265,808,205,59,15286
MP000102,CMP001,2025-04-12,48475,1479,374,101,15134
MP000103,CMP001,2025-04-13,48705,2646,730,176,14688
MP000104,CMP001,2025-04-14,41333,1347,300,83,17423
MP000105,CMP001,2025-04-15,49388,1699,569,201,14861
MP000106,CMP001,2025-04-16,31612,1754,263,64,14401
MP000107,CMP001,2025-04-17,18774,1255,389,112,24879
MP000108,CMP001,2025-04-18,47906,2277,579,170,19488
MP000109,CMP001,2025-04-19,49277,1860,540,175,10560
MP000110,CMP001,2025-04-20,48178,1310,341,99,15983
MP000111,CMP001,2025-04-21,11120,462,155,34,12361
MP000112,CMP001,2025-04-22,18050,662,105,12,13023
MP000113,CMP001,2025-04-23,36138,1020,269,79,23863
MP000114,CMP001,2025-04-24,17742,1140,297,80,12994
MP000115,CMP001,2025-04-25,14671,964,320,32,8492
MP000116,CMP001,2025-04-26,32862,1105,210,80,6645
MP000117,CMP001,2025-04-27,41530,1850,339,91,9369
MP000118,CMP001,2025-04-28,35450,2008,687,181,21540
MP000119,CMP001,2025-04-29,32966,2360,818,221,19611
MP000120,CMP001,2025-04-30,15430,1069,281,85,13493
MP000121,CMP001,2025-05-01,21203,991,344,133,22081
MP000122,CMP001,2025-05-02,36758,1714,397,95,7538
MP000123,CMP001,2025-05-03,23725,954,212,63,15476
MP000124,CMP001,2025-05-04,40399,1137,205,29,12577
MP000125,CMP001,2025-05-05,30102,2023,381,128,12010
MP000126,CMP001,2025-05-06,9209,608,143,35,22780
MP000127,CMP001,2025-05-07,35534,2413,392,65,18767
MP000128,CMP001,2025-05-08,30524,2186,626,240,5640
MP000129,CMP001,2025-05-09,42728,2412,605,61,16526
MP000130,CMP001,2025-05-10,24569,1289,407,108,22895
MP000131,CMP001,2025-05-11,44534,1793,517,107,13943
MP000132,CMP001,2025-05-12,33562,1665,263,75,16014
MP000133,CMP001,2025-05-13,48835,3757,977,181,20315
MP000134,CMP001,2025-05-14,13364,904,271,30,17911
MP000135,CMP001,2025-05-15,43790,3186,504,71,19044
MP000136,CMP001,2025-05-16,13893,749,158,18,13524
